Wall time,Step,Value
1693619651.7866096,100,4.958000183105469
1693619712.279189,200,5.921999931335449
1693619773.1807659,300,7.296999931335449
1693619833.1268578,400,5.364999771118164
1693619893.0116248,500,3.572000026702881
1693619952.131837,600,2.5239999294281006
1693620011.2419019,700,2.3239998817443848
1693620070.7619538,800,3.296999931335449
1693620131.5387173,900,2.619999885559082
1693620191.229789,1000,2.6679999828338623
1693620250.7066593,1100,3.869999885559082
1693620310.9858465,1200,4.633999824523926
1693620370.3262112,1300,3.813999891281128
1693620431.0285769,1400,3.2039999961853027
1693620548.4739435,1500,2.5369999408721924
1693620607.6585975,1600,2.2669999599456787
1693620666.8430643,1700,1.8930000066757202
1693620726.0948179,1800,3.114000082015991
1693620785.7410977,1900,2.2079999446868896
1693620845.7946968,2000,1.7430000305175781
1693620963.594355,2100,1.3969999551773071
1693621022.7137039,2200,1.2300000190734863
1693621082.3527386,2300,0.9110000133514404
1693621141.5826547,2400,0.734000027179718
1693621201.0593822,2500,0.6169999837875366
1693621260.7027192,2600,0.3880000114440918
1693621320.215092,2700,0.31700000166893005
1693621379.105369,2800,0.17800000309944153
1693621438.2733307,2900,0.15399999916553497
1693621565.3338654,3000,0.10199999809265137
1693621662.5178363,3100,2.7839999198913574
1693621759.5272734,3200,1.656000018119812
1693621855.0922852,3300,1.7079999446868896
1693621952.0835874,3400,1.847000002861023
1693622048.2625937,3500,2.0480000972747803
1693622145.914785,3600,2.5380001068115234
1693622241.7875185,3700,2.318000078201294
1693622337.7550862,3800,2.8540000915527344
1693622434.2682161,3900,2.253000020980835
1693622530.0477939,4000,2.4609999656677246
1693622676.5311503,4100,2.2109999656677246
1693622771.5119872,4200,2.437000036239624
1693622868.2536077,4300,2.5309998989105225
1693622964.7403598,4400,2.7269999980926514
1693623110.822099,4500,2.943000078201294
1693623206.1403184,4600,4.109000205993652
1693623305.3475568,4700,6.383999824523926
1693623400.4846761,4800,12.729999542236328
1693623496.8697915,4900,7.841000080108643
1693623593.4839342,5000,4.548999786376953
1693623692.1339629,5100,4.848999977111816
1693623787.9809742,5200,4.5
1693623884.62792,5300,4.008999824523926
1693623981.007313,5400,4.0370001792907715
1693624077.2293339,5500,4.214000225067139
1693624173.3317645,5600,3.7190001010894775
1693624269.1662405,5700,3.805000066757202
1693624363.2905204,5800,4.017000198364258
1693624515.2628384,5900,4.074999809265137
1693624611.2853353,6000,3.381999969482422
1693624755.2346828,6100,3.5420000553131104
1693624850.607739,6200,4.1519999504089355
1693624946.985736,6300,4.257999897003174
1693625042.3424737,6400,4.466000080108643
1693625138.316816,6500,4.296000003814697
1693625234.4319794,6600,4.124000072479248
1693625331.3670313,6700,3.99399995803833
1693625427.2975826,6800,4.073999881744385
1693625522.128117,6900,3.8550000190734863
1693625619.3202748,7000,3.7209999561309814
1693625715.3907745,7100,4.060999870300293
1693625811.724145,7200,3.8959999084472656
1693625907.2515037,7300,3.802000045776367
1693626059.469153,7400,3.8540000915527344
1693626154.8963704,7500,3.760999917984009
1693626250.114288,7600,3.9670000076293945
1693626347.9997122,7700,3.634999990463257
1693626442.7751977,7800,3.566999912261963
1693626538.559425,7900,3.796999931335449
1693626633.4445345,8000,3.5280001163482666
1693626775.6838195,8100,3.7890000343322754
1693626872.857766,8200,3.763000011444092
1693626968.9993231,8300,4.164999961853027
1693627064.3219929,8400,3.5309998989105225
1693627160.2352927,8500,4.071000099182129
1693627256.1561718,8600,3.631999969482422
1693627351.1405332,8700,3.6419999599456787
1693627447.8866436,8800,3.693000078201294
1693627599.2508368,8900,3.6459999084472656
1693627694.1840608,9000,3.7130000591278076
1693627789.5620584,9100,3.7750000953674316
1693627885.5709271,9200,3.5230000019073486
1693627981.9089239,9300,3.805000066757202
1693628077.1321287,9400,3.628000020980835
1693628173.1740494,9500,3.7119998931884766
1693628269.3022985,9600,3.859999895095825
1693628365.4662356,9700,3.7750000953674316
1693628462.080283,9800,3.496999979019165
1693628558.229675,9900,3.8970000743865967
1693628653.8256485,10000,3.621999979019165
1693628795.743598,10100,3.937000036239624
1693628890.6993911,10200,3.4560000896453857
1693628988.838874,10300,3.9749999046325684
1693629134.0324676,10400,3.859999895095825
1693629229.4350507,10500,4.072999954223633
1693629324.62766,10600,3.4730000495910645
1693629421.6845136,10700,3.881999969482422
1693629518.536255,10800,3.36299991607666
1693629614.6016655,10900,3.9639999866485596
1693629710.7612414,11000,3.697000026702881
1693629806.5108333,11100,3.765000104904175
1693629901.9288795,11200,3.5139999389648438
1693629997.947703,11300,3.4579999446868896
1693630094.8263958,11400,3.7249999046325684
1693630190.218458,11500,3.4830000400543213
1693630285.4319758,11600,4.756999969482422
1693630380.0531979,11700,3.628000020980835
1693630531.3548894,11800,3.61299991607666
1693630626.7416964,11900,3.384000062942505
1693630722.8685691,12000,3.944999933242798
1693630866.345479,12100,3.3970000743865967
1693630962.8644874,12200,3.5239999294281006
1693631058.6006625,12300,3.4609999656677246
1693631155.0397196,12400,3.494999885559082
1693631249.7287536,12500,3.864000082015991
1693631346.0533996,12600,3.2039999961853027
1693631443.2118785,12700,3.6710000038146973
1693631538.7594094,12800,3.822000026702881
1693631635.19649,12900,3.4240000247955322
1693631731.681469,13000,3.683000087738037
1693631826.5723073,13100,3.1619999408721924
1693631921.5366848,13200,3.9739999771118164
